[18:03:47] [INFO] received Windows console close event; shutting log-core down
[18:03:57] [INFO] received Windows console close event; shutting log-core down
[18:18:20] [INFO] received Windows console close event; shutting log-core down
[18:22:18] [INFO] received Windows console close event; shutting log-core down
[18:22:50] [INFO] received Windows console close event; shutting log-core down
[18:26:25] [INFO] received Windows console close event; shutting log-core down
[18:27:53] [INFO] received Windows console close event; shutting log-core down
[18:29:11] [INFO] received Windows console close event; shutting log-core down
[19:24:34] [INFO] received Windows console close event; shutting log-core down
[19:37:43] [INFO] received Windows console close event; shutting log-core down
[19:45:35] [INFO] received Windows console close event; shutting log-core down
[19:49:04] [INFO] received Windows console close event; shutting log-core down
[13:42:17] [INFO] received Windows console close event; shutting log-core down
[13:53:43] [INFO] received Windows console close event; shutting log-core down
[14:24:06] [INFO] received Windows console close event; shutting log-core down
[14:27:13] [INFO] received Windows console close event; shutting log-core down
[14:33:50] [INFO] received Windows console close event; shutting log-core down
[14:35:14] [INFO] received Windows console close event; shutting log-core down
[19:39:56] [INFO] received Windows console close event; shutting log-core down
[20:07:53] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:09:22] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:11:53] [INFO] received Windows console close event; shutting log-core down
[20:12:43] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:15:10] [INFO] received Windows console close event; shutting log-core down
[20:45:24] [INFO] received Windows console close event; shutting log-core down
[20:51:48] [INFO] received Windows console close event; shutting log-core down
[20:53:21] [INFO] received Windows console close event; shutting log-core down
[20:55:46] [INFO] received Windows console close event; shutting log-core down
[21:02:08] [INFO] received Windows console close event; shutting log-core down
[21:05:06] [INFO] received Windows console close event; shutting log-core down
[21:23:53] [INFO] received Windows console close event; shutting log-core down
[21:24:51] [INFO] received Windows console close event; shutting log-core down
[21:33:49] [INFO] received Windows console close event; shutting log-core down
[21:35:12] [INFO] received Windows console close event; shutting log-core down
[22:13:17] [INFO] received Windows console close event; shutting log-core down
[22:15:01] [INFO] received Windows console close event; shutting log-core down
[22:16:34] [INFO] received Windows console close event; shutting log-core down
[22:18:25] [INFO] received Windows console close event; shutting log-core down
[11:45:51] [INFO] received Windows console close event; shutting log-core down
[12:45:04] [INFO] received Windows console close event; shutting log-core down
[12:58:45] [INFO] received Windows console close event; shutting log-core down
[13:01:25] [INFO] received Windows console close event; shutting log-core down
